Country code,Life Expectancy,Cigarette consumption,Alcohol consumption,Incidence of tuberculosis per 100000 per year,GDP per Capita (Current US$),Income Gini Coefficient,Current health expenditure per capita (current US$),Total Population,"Population Density, Number of People/km2","Ambient Air Pollution, Concentration of Fine Particulate Matter PM2.5 (Ug/M3)",Ambient and Household Air Pollution Attributable Death Rate (per 100 000 Population),People using safely managed sanitation services (% of population),"People using safely managed drinking water services, urban (% of urban population)",EPI score,cardiovascular-disease-death-rates,Diabetes prevalence (% of population ages 20 to 79),Acute lower respiratory infections,asthma-prevalence,Democracy Index,"Human Development Index, 2019",Corruption Perceptions Index 2021,UHC service coverage index
SSD,58.095,,,232,,0.441,22.63819,11381377,18.01,45.58,0.7,,,,231.5465565,6.5,19,4.048205813,,0.4330,11,32
SYR,73.651,25.9,0.19,19,,,,18275704,99.52,43.76,0.82,,,,491.1277144,14.9,1.8,3.444039181,1.43,0.5670,13,56
DMA,,11.6,7.23,47,7559.975039,,440.16986,72172,96.23,19.49,,,,51.2,267.1112016,11.7,1.4,7.177538303,,0.7420,55,67
FSM,68.002,,2.51,75,3476.650895,,415.19827,116255,166.08,11.28,11.96,,,37.4,560.2292898,15.6,4.9,3.265197099,,0.6200,,48
PRK,72.453,14.9,4.16,523,,,,25887045,214.99,32.01,11.72,,76.96,,352.9104299,8.6,2.9,3.914215158,1.08,,16,68
ATG,77.146,38.9,9.4,2.3,14900.7974,,760.26495,98728,224.38,18.62,0.41,,,52.4,227.3490399,11.7,0.5,5.879423757,,0.7780,,72
BLZ,74.754,32.1,6.37,23,4420.491372,,293.4126,404915,17.75,23.01,1.1,,,50,185.1893318,14.5,0.7,5.907713406,,0.7160,,67
BRN,75.998,48.6,0.46,83,31722.66014,,671.56268,441532,83.78,5.9,0.32,,,45.7,266.9986131,11.1,0.4,5.292491539,,0.8380,,77
ERI,66.679,38.3,2.11,81,,,25.26793,,35.66,48.03,0.7,,,31.7,327.6668569,6.5,6.7,4.537066129,2.03,0.4590,22,50
SOM,57.697,26.6,0,259,445.7790165,0.368,,16359500,26.08,32.03,0.57,31.52,,,349.4117094,6.5,25.6,4.536480382,,,13,27
YEM,66.181,30.4,0.03,49,690.75927,,,30490639,57.75,50.46,0.35,18.84,,,513.0910435,5.4,9.6,4.064819343,1.95,0.4700,16,44
BRB,79.308,26.3,10.37,2.4,17033.93719,,1143.32202,287708,669.09,23.08,1.74,,,53.2,186.0558984,14,0.3,7.238392363,,0.8140,65,74
BHS,74.053,24.7,4.8,9.1,28239.36671,,2004.61633,396914,39.65,17.37,0.62,,,56.2,247.0927454,8.8,1,5.935087104,,0.8140,64,70
CPV,73.166,2.7,,39,3445.756536,,177.89027,561901,139.43,34.78,0.47,,,41.9,259.2004182,2.1,2,2.560638839,7.65,0.6650,58,69
GRD,72.426,23.6,8.96,2.8,9928.621733,,534.27441,113015,332.4,22.72,1.57,,,47.9,270.6416087,12.6,0.3,7.42441992,,0.7790,53,70
LBY,73.082,20.9,0.027,59,6018.445207,,,6958538,3.95,54.25,0.66,21.62,,,282.0769339,8.7,1.2,3.891688097,1.95,0.7240,17,60
VCT,72.658,81.6,7.15,6.7,7996.614002,,354.80865,111269,285.31,22.2,1.1,,,53.2,292.1938766,8,0.7,5.946592086,,0.7380,59,73
WSM,73.45,20,2.82,6.1,3939.113696,,271.91577,200144,70.72,11.55,1.29,47.72,,36.4,406.178623,9.2,1.6,3.081640053,,0.7150,,53
SLB,73.132,3.4,1.74,65,2336.968134,,111.90449,703995,25.15,11.88,1.15,,,35,817.6601398,19.8,2.8,3.567910677,,0.5670,43,50
SDN,65.53,17.4,,63,764.3410034,,46.92884,44909351,24.29,55.37,0.38,,,27.6,466.997232,18.9,9,4.346955462,2.47,0.5100,20,44
TLS,69.712,1.4,0.53,508,1457.825128,,92.67004,1343875,90.37,19.26,12.32,,,35.1,368.6796571,8.6,9.7,2.98991322,,0.6060,41,53
TON,71.018,11.5,0.43,10,,,242.37277,106759,148.28,10.79,11.54,33.8,50.8,43.8,231.2223331,15,1.8,3.834313623,,0.7250,,56
CMR,59.626,13.3,5.52,174,1661.70211,,53.99585,27224262,57.59,72.79,0.42,,,30.2,274.4164765,5.5,12.3,2.38750358,2.56,0.5630,27,44
