,Life Expectancy,Cigarette consumption,Alcohol consumption,Incidence of tuberculosis per 100000 per year,GDP per Capita (Current US$),Income Gini Coefficient,Current health expenditure per capita (current US$),Total Population,"Population Density, Number of People/km2","Ambient Air Pollution, Concentration of Fine Particulate Matter PM2.5 (Ug/M3)",Ambient and Household Air Pollution Attributable Death Rate (per 100 000 Population),People using safely managed sanitation services (% of population),"People using safely managed drinking water services, urban (% of urban population)",EPI score,cardiovascular-disease-death-rates,Diabetes prevalence (% of population ages 20 to 79),Acute lower respiratory infections,asthma-prevalence,Democracy Index,"Human Development Index, 2019",Corruption Perceptions Index 2021,UHC service coverage index
0,58.095,20.3,5.773999999999999,232.0,15015.7996494,0.441,22.63819,11381377.0,18.01,45.58,0.7,68.868,95.356,41.14,231.5465565,6.5,19.0,4.048205813,4.412,0.433,11.0,32.0
1,73.651,25.9,0.19,19.0,18003.9812692,0.368,1237.870196,18275704.0,99.52,43.76,0.82,64.998,83.772,44.019999999999996,491.1277144,14.9,1.8,3.444039181,1.43,0.567,13.0,56.0
2,72.947518,11.6,7.23,47.0,7559.975039,0.36819999999999997,440.16986,72172.0,96.23,19.49,3.042,45.306,53.720000000000006,51.2,267.1112016,11.7,1.4,7.177538303,6.65,0.742,55.0,67.0
3,68.002,33.58,2.51,75.0,3476.650895,0.36819999999999997,415.19827,116255.0,166.08,11.28,11.96,45.306,53.720000000000006,37.4,560.2292898,15.6,4.9,3.265197099,6.65,0.62,51.8,48.0
4,72.453,14.9,4.16,523.0,13056.884580180002,0.39080000000000004,1122.6423220000001,25887045.0,214.99,32.01,11.72,34.508,76.96,38.5,352.9104299,8.6,2.9,3.914215158,1.08,0.5795999999999999,16.0,68.0
5,77.146,38.9,9.4,2.3,14900.7974,0.36819999999999997,760.26495,98728.0,224.38,18.62,0.41,45.306,53.720000000000006,52.4,227.3490399,11.7,0.5,5.879423757,6.65,0.778,51.8,72.0
6,74.754,32.1,6.37,23.0,4420.491372,0.3188,293.4126,404915.0,17.75,23.01,1.1,56.624,72.02000000000001,50.0,185.1893318,14.5,0.7,5.907713406,6.65,0.716,51.8,67.0
7,75.998,48.6,0.46,83.0,31722.66014,0.31100000000000005,671.56268,441532.0,83.78,5.9,0.32,56.168000000000006,81.462,45.7,266.9986131,11.1,0.4,5.292491539,6.65,0.838,50.8,77.0
8,66.679,38.3,2.11,81.0,1829.1717482200002,0.392,25.26793,18271430.8,35.66,48.03,0.7,23.112000000000002,41.582,31.7,327.6668569,6.5,6.7,4.537066129,2.03,0.459,22.0,50.0
9,57.697,26.6,0.0,259.0,445.7790165,0.368,99.70961,16359500.0,26.08,32.03,0.57,31.52,60.89399999999999,30.360000000000003,349.4117094,6.5,25.6,4.536480382,3.35,0.5252,13.0,27.0
