Country code,cases per pop,death per pop,case fatality rate
SSD,1658.22,769.56,0.01
SYR,2686.13,12.82,0.00
DMA,205104.13,939.07,0.00
FSM,,,
PRK,0.04,4531.39,6.00
ATG,97500.54,1566.19,0.02
BLZ,171946.67,1707.37,0.01
BRN,507971.97,505.19,0.00
ERI,2808.87,28.45,0.01
SOM,1594.26,3061.98,0.03
YEM,361.87,,
BRB,364352.77,1987.91,0.01
BHS,91361.74,2042.14,0.02
CPV,106067.95,697.37,0.01
GRD,156777.14,1122.87,0.02
LBY,75273.22,2202.93,0.01
VCT,90557.07,3496.71,0.00
WSM,72795.34,345.13,0.01
SLB,30435.78,1720.24,0.05
SDN,1386.09,1927.76,0.02
TLS,17603.35,113.19,0.01
TON,152635.90,2384.91,0.02
CMR,4472.73,71.14,0.02
MYS,143951.45,590.65,0.01
OMN,88042.37,132.29,0.01
TJK,1824.19,457.20,0.02
TKM,,,
VEN,19309.70,65.40,0.01
KWT,154941.73,458.20,0.00
JAM,53650.08,356.91,0.02
AFG,4951.26,194.47,0.04
BIH,121804.32,4931.60,0.04
BDI,3993.96,3.03,0.00
COM,10310.04,195.95,0.02
COG,4255.97,66.14,0.02
GNQ,10407.07,111.96,0.01
GUY,88637.74,74.86,0.03
HTI,2946.74,2148.03,0.01
KIR,26615.14,1795.06,0.00
MDV,354855.04,33.83,0.00
MRT,13606.58,789.89,0.02
MOZ,7177.06,361.63,0.01
NAM,66894.43,79.92,0.02
PNG,4520.96,2921.18,0.01
LCA,163694.25,1111.84,0.00
SYC,435409.03,296.13,0.02
TTO,119683.71,1193.02,0.03
SGP,347100.45,3215.05,0.01
ALB,116294.48,1257.22,0.01
BHR,464133.97,1038.77,0.00
KHM,8309.65,184.22,0.02
KAZ,77266.57,107.06,0.01
KEN,6384.04,100.87,0.02
MDA,191743.21,1717.28,0.02
UZB,7164.02,442.67,0.01
VNM,117717.91,206.28,0.18
ZMB,17123.03,,
JOR,156705.55,992.27,0.01
AZE,79594.55,960.25,0.01
LBN,217276.63,309.45,0.01
DOM,57956.76,394.32,0.01
FJI,73797.60,1070.81,0.00
AGO,2988.98,55.56,0.02
BEN,2126.51,12.54,0.01
BWA,126064.40,1077.49,0.01
BFA,955.99,17.51,0.02
GAB,20797.64,140.91,0.03
GTM,63617.01,33.18,0.01
GIN,2782.46,84.92,0.02
LBR,1532.90,955.71,0.04
MUS,201688.33,2604.84,0.00
NIC,2196.18,12.39,0.02
RWA,9842.23,966.26,0.01
VUT,37444.85,602.05,0.00
CUB,98713.96,757.79,0.01
IND,31668.53,577.29,0.02
QAT,166329.58,3465.39,0.00
KOR,476048.56,2400.85,0.01
SAU,22697.94,2468.15,0.02
DZA,6126.33,155.71,0.03
BLR,103781.54,743.15,0.01
BGR,182441.20,5475.56,0.03
EGY,4719.34,226.95,0.05
IRQ,56496.72,1588.68,0.01
LVA,493431.68,1908.22,0.01
MAR,34115.41,69.27,0.01
SVK,481154.35,216.15,0.01
SVN,552840.18,79.75,0.01
TZA,618.68,104.47,0.01
THA,65348.46,32.85,0.01
TUN,93398.85,797.98,0.01
URY,287608.65,206.17,0.00
ARM,158681.16,3111.10,0.02
ETH,4103.06,62.95,0.02
CYP,653246.01,1316.95,0.00
LKA,30804.41,2259.44,0.08
PAK,6794.73,332.89,0.02
MDG,2305.88,134.74,0.02
BTN,79396.93,27.01,0.00
BOL,91722.80,1840.56,0.02
CAF,2732.74,20.71,0.01
CIV,3171.05,29.95,0.01
COD,968.28,15.04,0.02
DJI,14191.94,170.96,0.01
SLV,31957.50,669.76,0.02
SWZ,61554.80,1192.68,0.02
GMB,4738.03,4497.10,0.01
HND,44403.16,1351.38,0.01
LAO,29063.61,3191.71,0.00
