Country,Speed.Number,first_date,order,total_deaths,p.db,ylds.db,p.copd,ylds.copd,p.hiv,ylds.hiv,p.tbc,ylds.tbc,GDP_2017,pop_men,pop_women,prop_men,pm2.5,UHC_index_2017
Afghanistan,0.888888888888889,2020-02-24,34,0,0.105598924154,0.0527018347517,0.0501401113551,0.0304843903731,0.000185658911646,0.000165004194889,0.261145917575,0.00107768086921,556.3021385,16743202.1790222,16111564.404708,0.509612574368844,53.2,37
Albania,5.84615384615385,2020-03-09,48,2,0.0440234623451,0.0326459044131,0.0428476051264,0.0233306246526,1.17588575198E-05,1.73043593178E-05,0.132001190855,0.000263812350408,4532.890162,1389607.89760828,1376553.65453931,0.5023596313561,17.9,59
Algeria,5.34615384615385,2020-02-25,35,15,0.0856908488133,0.0549479378281,0.038137093045,0.0293086953803,0.00028548413799,0.000260614789875,0.117466501241,0.000379490028132,4044.298372,20482074.718496,19981623.418927,0.506183954045295,35.2,78
Angola,1,2020-03-20,59,0,0.0979362192748,0.0688429349252,0.0300399419949,0.0309252387152,0.0134234261929,0.0141010787171,0.22292050582,0.00527685602784,4095.812942,13684538.0515508,14517760.5953924,0.485227754760836,27.9,40
Antigua and Barbuda,0.111111111111111,2020-03-13,52,0,0.0854838580218,0.07191853975,0.020194663207,0.0123331697699,0.000959695017547,0.00153801457563,0.18939629868,0.000194950003499,15383.41519,43283.7132582523,45673.6397879649,0.486567009651968,17.9,73
Argentina,8.31578947368421,2020-03-03,42,4,0.0687460798559,0.0461760231857,0.0376335929465,0.0203107232084,0.00484824372462,0.00447038204642,0.152910076283,0.000247522308411,14591.86338,21575051.6707563,22690857.5298299,0.487396555507112,11.8,76
Armenia,7.61904761904762,2020-03-01,40,0,0.0892230955526,0.0689576792223,0.0421560541135,0.0239439720192,0.000547289123855,0.000524249825121,0.145043188642,0.00052743525766,3914.501268,1459556.70801358,1567674.72230215,0.482142426706158,30.5,69
Australia,19.125,2020-01-26,5,7,0.042799114981,0.0266544801729,0.0332225995372,0.0187143049065,0.000612564001814,0.000369133306272,0.0909959261629,0.000112351630712,54066.47127,11831140.8770815,12111940.6720947,0.494136097426798,7.2,87
Austria,108.230769230769,2020-02-25,35,8,0.0589803535781,0.0357973571904,0.0576415994184,0.0220883796933,0.00162628189415,0.00104171920816,0.0740600692797,0.000151449744299,47431.63061,4324554.16949537,4468571.26200974,0.491810813252,12.4,79
Azerbaijan,2.52380952380952,2020-03-01,40,1,0.0873638119733,0.0683890877362,0.0417866591919,0.0238635900766,0.000279660862086,0.00022824405894,0.160870124404,0.00127377209241,4147.089716,5102958.27215699,5122062.29908399,0.499065819633619,18.2,65
Bahrain,11.2962962962963,2020-02-24,34,1,0.118086355747,0.0722179794691,0.0381235160522,0.0297795519544,0.000174035036342,0.000196372338154,0.147942695989,0.000285590949909,23715.48275,912885.322128743,557487.385837619,0.62085301038492,69,77
Bangladesh,1.78571428571429,2020-03-08,47,2,0.0550056174276,0.0383571384467,0.0386706365217,0.0389369743999,6.26534963426E-05,0.00010751160681,0.13407830806,0.0037019668566,1563.994082,77650600.8467858,79330401.2449026,0.494649669782539,58.3,48
Barbados,1.2,2020-03-17,56,0,0.0900153106029,0.0810485989423,0.0193549118665,0.0127500626038,0.00492172329037,0.00450147651212,0.188309577281,0.000115653899172,17431.60292,142470.527042045,153413.294597077,0.481508337471086,22.2,77
Belarus,3.30434782608696,2020-02-28,38,0,0.049948324624,0.0347380947418,0.0405551659225,0.0212052766838,0.0017602847068,0.00130800303,0.125197788988,0.000531060971,5761.74712,4418034.90745002,5073004.7206779,0.465495359892567,18.1,76
Belgium,59.8936170212766,2020-02-04,14,67,0.0693079794601,0.0441028597768,0.0519426581559,0.0262408840265,0.00169064767895,0.00102427525764,0.0763014376419,0.00014541339945,44219.562,5565653.07407086,5753757.76393258,0.491691056515495,12.9,84
Benin,0.333333333333333,2020-03-16,55,0,0.0645785250494,0.0487101810494,0.033829784841,0.0344616259253,0.00823562689345,0.00649366648986,0.319149177909,0.00394559472793,829.4788028,5686158.71425441,5899142.11334149,0.490808033289055,33.1,40
Bhutan,0.125,2020-03-06,45,0,0.0573670267658,0.0406114468218,0.0310078590104,0.0364945259296,0.00111142860624,0.00146641123324,0.132758016496,0.00323834818589,3286.574704,506853.671802705,450556.577347714,0.529400716414383,35.3,62
Bolivia,1.72727272727273,2020-03-11,50,0,0.0699009158679,0.0576954122585,0.0272702991931,0.0164565294224,0.0020277020362,0.00223241586481,0.237397368287,0.000893413919638,3351.124053,5775339.40564025,5767655.30480794,0.500332846935525,20.2,68
Bosnia and Herzegovina,5.47058823529412,2020-03-05,44,1,0.0817536149526,0.0563713333021,0.0541303210342,0.027371834296,1.09161417344E-05,1.36241090905E-05,0.140800336338,0.000486811679943,5394.59122,1668273.69800264,1730965.76274888,0.490778515978339,27.3,61
Brazil,40.84,2020-02-26,36,15,0.0417859273552,0.0335378649167,0.0405039838103,0.0196201689818,0.00410027344016,0.00370410724987,0.247557096178,0.000338029180422,9880.946543,103513823.255291,108298884.030811,0.488704500223736,11.5,79
Brunei,6.38461538461539,2020-03-09,48,0,0.112552508603,0.0759757914608,0.0273224913758,0.0215685646374,0.000946340434151,0.000823359807127,0.264313130811,0.00120058147653,28572.14678,225940.172860751,206510.560660945,0.522464538378256,5.8,81
Bulgaria,11.6428571428571,2020-03-08,47,3,0.0547756345002,0.0400849911064,0.0537458121281,0.0288169553444,0.000237058726251,0.000239052114479,0.127617829628,0.000354396067556,8228.01157,3423854.60617154,3628484.74329468,0.485492038387331,18.8,66
Burkina Faso,5.33333333333333,2020-03-10,49,2,0.053332250436,0.0402509644864,0.0335910504695,0.0341251234724,0.00660283297249,0.00592511766994,0.343912881657,0.00501360464766,642.4298387,10251682.055138,10870284.083551,0.485356428839266,36.8,40
Cambodia,0.963636363636364,2020-01-27,6,0,0.0748065673599,0.054327144248,0.0383973356886,0.0416909176746,0.0050360593026,0.00444991653234,0.27492319956,0.012023691768,1385.458363,7900770.02908953,8221613.12955955,0.490049761957869,24,60
Cameroon,1.6875,2020-03-06,45,0,0.0536467699722,0.0387395847894,0.0346545071852,0.0346920983762,0.0277867421177,0.0274264568047,0.296909517371,0.00375188562384,1421.587492,13830871.1965846,13938867.0657953,0.498055511575401,65.3,46
Canada,22.8214285714286,2020-01-26,5,19,0.0521333627879,0.0366795369601,0.0320146215435,0.0172053752768,0.00208859904508,0.00131063116285,0.0556987319997,9.25098482162E-05,45069.92725,17701594.0763338,18281323.4755667,0.491944380296613,6.5,89
Cape Verde,2,2020-03-20,59,0,0.0590791249823,0.0496288864152,0.0158531147205,0.0185220779459,0.00864710909494,0.00902500128035,0.21846292099,0.00334608217404,3292.645755,274404.187434386,271401.688782978,0.502750518803697,32,69
Central African Republic,0.428571428571429,2020-03-15,54,0,0.0974746981365,0.0648221333678,0.0343412246486,0.0332512626257,0.025556554519,0.0270763935648,0.303817229388,0.00659344771522,449.7864235,2299447.66486459,2323067.29896781,0.497445153310695,49.5,33
Chad,0.333333333333333,2020-03-19,58,0,0.0571873063773,0.0397643706498,0.0383244741997,0.0356358444735,0.0135951860986,0.0119738122128,0.379851334711,0.00480548492149,664.3033157,7548807.07210237,7673278.49358143,0.495911485947771,53,28
Chile,28.2631578947368,2020-03-03,42,0,0.0681840731902,0.0432942421262,0.0327610763777,0.0167567436667,0.00327596639059,0.00285859524463,0.12645174051,0.000239009932574,15037.35028,8793992.5205316,9124242.38230528,0.490784531412706,21,70
China,1355.08333333333,2020-01-22,1,3259,0.0503657352136,0.0399931212899,0.0379787550985,0.0417055614052,0.000381717434675,0.000633624301895,0.284523774443,0.00451213782502,8759.041578,721191249.541291,691289140.668052,0.510584964251719,49.2,79
Colombia,12.25,2020-03-06,45,0,0.0414949226316,0.0389446299733,0.031098408553,0.0248894512916,0.00227713930531,0.00246668893404,0.216167114224,0.00029103799575,6375.932063,24845206.3019498,25760950.7695401,0.490952242567079,15.2,76
Congo (Brazzaville),0.428571428571429,2020-03-15,54,0,0.0996999811136,0.0713361690415,0.0283307380387,0.0295802744008,0.0214475116805,0.0229868813685,0.221988733025,0.00433922878455,1702.571349,2440687.59658881,2472384.78218579,0.496774199202324,38.7,39
Congo (Kinshasa),2.09090909090909,2020-03-11,50,1,0.0912206419678,0.0628949396947,0.0327724403884,0.0330069173949,0.00599320960306,0.00557744223638,0.240491752536,0.00692189462929,467.0742375,40415183.6203661,40469487.044676,0.499664315723465,37.6,41
